Model,Accuracy,Balanced Accuracy,Macro F1-Score,Weighted Precision
Logistic Regression,0.2551264279746052,0.04321902806162949,0.02790161706794791,0.13863755437634384
Decision Tree,0.2738745270408048,0.06140204524488365,0.045840316189855755,0.2152043141956377
XGBoost (Advanced),0.28755507129660335,0.09177453750869674,0.07684618306063179,0.2375594374346445
